+-----+------+-------+-----+-------------------+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| id  | year | month | day |      street       |                                                                                                            description                                                                                                             |
+-----+------+-------+-----+-------------------+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| 295 | 2020 | 7     | 28  | Chamberlin Street | Theft of the CS50 duck took place at 10:15am at the Chamberlin Street courthouse. Interviews were conducted today with three witnesses who were present at the time — each of their interview transcripts mentions the courthouse. |
+-----+------+-------+-----+-------------------+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
+-----+---------+------+-------+-----+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| id  |  name   | year | month | day |                                                                                                                                                       transcript                                                                                                                                                        |
+-----+---------+------+-------+-----+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| 158 | Jose    | 2020 | 7     | 28  | “Ah,” said he, “I forgot that I had not seen you for some weeks. It is a little souvenir from the King of Bohemia in return for my assistance in the case of the Irene Adler papers.”                                                                                                                                   |
| 159 | Eugene  | 2020 | 7     | 28  | “I suppose,” said Holmes, “that when Mr. Windibank came back from France he was very annoyed at your having gone to the ball.”                                                                                                                                                                                          |
| 160 | Barbara | 2020 | 7     | 28  | “You had my note?” he asked with a deep harsh voice and a strongly marked German accent. “I told you that I would call.” He looked from one to the other of us, as if uncertain which to address.                                                                                                                       |
| 161 | Ruth    | 2020 | 7     | 28  | Sometime within ten minutes of the theft, I saw the thief get into a car in the courthouse parking lot and drive away. If you have security footage from the courthouse parking lot, you might want to look for cars that left the parking lot in that time frame.                                                      |
| 162 | Eugene  | 2020 | 7     | 28  | I don't know the thief's name, but it was someone I recognized. Earlier this morning, before I arrived at the courthouse, I was walking by the ATM on Fifer Street and saw the thief there withdrawing some money.                                                                                                      |
| 163 | Raymond | 2020 | 7     | 28  | As the thief was leaving the courthouse, they called someone who talked to them for less than a minute. In the call, I heard the thief say that they were planning to take the earliest flight out of Fiftyville tomorrow. The thief then asked the person on the other end of the phone to purchase the flight ticket. |
+-----+---------+------+-------+-----+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
+-----+------+-------+-----+------+--------+----------+---------------+
| id  | year | month | day | hour | minute | activity | license_plate |
+-----+------+-------+-----+------+--------+----------+---------------+
| 219 | 2020 | 7     | 28  | 8    | 2      | entrance | 1M92998       |
| 220 | 2020 | 7     | 28  | 8    | 2      | entrance | N507616       |
| 221 | 2020 | 7     | 28  | 8    | 2      | exit     | 1M92998       |
| 222 | 2020 | 7     | 28  | 8    | 2      | exit     | N507616       |
| 223 | 2020 | 7     | 28  | 8    | 7      | entrance | 7Z8B130       |
| 224 | 2020 | 7     | 28  | 8    | 7      | exit     | 7Z8B130       |
| 225 | 2020 | 7     | 28  | 8    | 13     | entrance | 47MEFVA       |
| 226 | 2020 | 7     | 28  | 8    | 13     | exit     | 47MEFVA       |
| 227 | 2020 | 7     | 28  | 8    | 15     | entrance | D965M59       |
| 228 | 2020 | 7     | 28  | 8    | 15     | entrance | HW0488P       |
| 229 | 2020 | 7     | 28  | 8    | 15     | exit     | D965M59       |
| 230 | 2020 | 7     | 28  | 8    | 15     | exit     | HW0488P       |
| 231 | 2020 | 7     | 28  | 8    | 18     | entrance | L93JTIZ       |
| 232 | 2020 | 7     | 28  | 8    | 23     | entrance | 94KL13X       |
| 233 | 2020 | 7     | 28  | 8    | 25     | entrance | L68E5I0       |
| 234 | 2020 | 7     | 28  | 8    | 25     | entrance | HOD8639       |
| 235 | 2020 | 7     | 28  | 8    | 25     | exit     | HOD8639       |
| 236 | 2020 | 7     | 28  | 8    | 34     | exit     | L68E5I0       |
| 237 | 2020 | 7     | 28  | 8    | 34     | entrance | 1106N58       |
| 238 | 2020 | 7     | 28  | 8    | 34     | entrance | W2CT78U       |
| 239 | 2020 | 7     | 28  | 8    | 34     | exit     | W2CT78U       |
| 240 | 2020 | 7     | 28  | 8    | 36     | entrance | 322W7JE       |
| 241 | 2020 | 7     | 28  | 8    | 38     | entrance | 3933NUH       |
| 242 | 2020 | 7     | 28  | 8    | 38     | exit     | 3933NUH       |
| 243 | 2020 | 7     | 28  | 8    | 42     | entrance | 0NTHK55       |
| 244 | 2020 | 7     | 28  | 8    | 44     | entrance | 1FBL6TH       |
| 245 | 2020 | 7     | 28  | 8    | 44     | exit     | 1FBL6TH       |
| 246 | 2020 | 7     | 28  | 8    | 49     | entrance | P14PE2Q       |
| 247 | 2020 | 7     | 28  | 8    | 49     | exit     | P14PE2Q       |
| 248 | 2020 | 7     | 28  | 8    | 50     | entrance | 4V16VO0       |
| 249 | 2020 | 7     | 28  | 8    | 50     | exit     | 4V16VO0       |
| 250 | 2020 | 7     | 28  | 8    | 57     | entrance | 8LLB02B       |
| 251 | 2020 | 7     | 28  | 8    | 57     | exit     | 8LLB02B       |
| 252 | 2020 | 7     | 28  | 8    | 59     | entrance | O784M2U       |
| 253 | 2020 | 7     | 28  | 8    | 59     | exit     | O784M2U       |
| 254 | 2020 | 7     | 28  | 9    | 14     | entrance | 4328GD8       |
| 255 | 2020 | 7     | 28  | 9    | 15     | entrance | 5P2BI95       |
| 256 | 2020 | 7     | 28  | 9    | 20     | entrance | 6P58WS2       |
| 257 | 2020 | 7     | 28  | 9    | 28     | entrance | G412CB7       |
| 258 | 2020 | 7     | 28  | 10   | 8      | entrance | R3G7486       |
| 259 | 2020 | 7     | 28  | 10   | 14     | entrance | 13FNH73       |
| 260 | 2020 | 7     | 28  | 10   | 16     | exit     | 5P2BI95       |
| 261 | 2020 | 7     | 28  | 10   | 18     | exit     | 94KL13X       |
| 262 | 2020 | 7     | 28  | 10   | 18     | exit     | 6P58WS2       |
| 263 | 2020 | 7     | 28  | 10   | 19     | exit     | 4328GD8       |
| 264 | 2020 | 7     | 28  | 10   | 20     | exit     | G412CB7       |
| 265 | 2020 | 7     | 28  | 10   | 21     | exit     | L93JTIZ       |
| 266 | 2020 | 7     | 28  | 10   | 23     | exit     | 322W7JE       |
| 267 | 2020 | 7     | 28  | 10   | 23     | exit     | 0NTHK55       |
| 268 | 2020 | 7     | 28  | 10   | 35     | exit     | 1106N58       |
| 269 | 2020 | 7     | 28  | 10   | 42     | entrance | NRYN856       |
| 270 | 2020 | 7     | 28  | 10   | 44     | entrance | WD5M8I6       |
| 271 | 2020 | 7     | 28  | 10   | 55     | entrance | V47T75I       |
| 272 | 2020 | 7     | 28  | 11   | 6      | entrance | 4963D92       |
| 273 | 2020 | 7     | 28  | 11   | 13     | entrance | C194752       |
| 274 | 2020 | 7     | 28  | 11   | 52     | entrance | 94MV71O       |
| 275 | 2020 | 7     | 28  | 12   | 20     | entrance | FLFN3W0       |
| 276 | 2020 | 7     | 28  | 12   | 49     | entrance | 207W38T       |
| 277 | 2020 | 7     | 28  | 13   | 8      | entrance | RS7I6A0       |
| 278 | 2020 | 7     | 28  | 13   | 30     | entrance | 4468KVT       |
| 279 | 2020 | 7     | 28  | 13   | 42     | entrance | NAW9653       |
| 280 | 2020 | 7     | 28  | 14   | 18     | exit     | NAW9653       |
| 281 | 2020 | 7     | 28  | 15   | 6      | exit     | RS7I6A0       |
| 282 | 2020 | 7     | 28  | 15   | 16     | exit     | 94MV71O       |
| 283 | 2020 | 7     | 28  | 16   | 6      | exit     | WD5M8I6       |
| 284 | 2020 | 7     | 28  | 16   | 38     | exit     | 4468KVT       |
| 285 | 2020 | 7     | 28  | 16   | 42     | exit     | 207W38T       |
| 286 | 2020 | 7     | 28  | 16   | 47     | exit     | C194752       |
| 287 | 2020 | 7     | 28  | 17   | 11     | exit     | NRYN856       |
| 288 | 2020 | 7     | 28  | 17   | 15     | exit     | 13FNH73       |
| 289 | 2020 | 7     | 28  | 17   | 16     | exit     | V47T75I       |
| 290 | 2020 | 7     | 28  | 17   | 18     | exit     | R3G7486       |
| 291 | 2020 | 7     | 28  | 17   | 36     | exit     | FLFN3W0       |
| 292 | 2020 | 7     | 28  | 17   | 47     | exit     | 4963D92       |
+-----+------+-------+-----+------+--------+----------+---------------+
+-----+----------------+------+-------+-----+----------------------+------------------+--------+
| id  | account_number | year | month | day |     atm_location     | transaction_type | amount |
+-----+----------------+------+-------+-----+----------------------+------------------+--------+
| 245 | 90209473       | 2020 | 7     | 28  | Humphrey Lane        | withdraw         | 45     |
| 246 | 28500762       | 2020 | 7     | 28  | Fifer Street         | withdraw         | 48     |
| 247 | 41935128       | 2020 | 7     | 28  | Humphrey Lane        | withdraw         | 15     |
| 248 | 94973060       | 2020 | 7     | 28  | Humphrey Lane        | deposit          | 50     |
| 249 | 21004503       | 2020 | 7     | 28  | Blumberg Boulevard   | deposit          | 40     |
| 250 | 45468795       | 2020 | 7     | 28  | Carvalho Road        | withdraw         | 15     |
| 251 | 57029719       | 2020 | 7     | 28  | Carvalho Road        | withdraw         | 80     |
| 252 | 93622979       | 2020 | 7     | 28  | Blumberg Boulevard   | deposit          | 15     |
| 253 | 66454844       | 2020 | 7     | 28  | Carvalho Road        | withdraw         | 60     |
| 254 | 16113845       | 2020 | 7     | 28  | Daboin Sanchez Drive | withdraw         | 55     |
| 255 | 66344537       | 2020 | 7     | 28  | Humphrey Lane        | withdraw         | 55     |
| 256 | 97773635       | 2020 | 7     | 28  | Carvalho Road        | withdraw         | 85     |
| 257 | 45096649       | 2020 | 7     | 28  | Blumberg Boulevard   | deposit          | 65     |
| 258 | 92647903       | 2020 | 7     | 28  | Humphrey Lane        | withdraw         | 5      |
| 259 | 85274751       | 2020 | 7     | 28  | Humphrey Lane        | deposit          | 70     |
| 260 | 99835463       | 2020 | 7     | 28  | Daboin Sanchez Drive | withdraw         | 40     |
| 261 | 67735369       | 2020 | 7     | 28  | Daboin Sanchez Drive | withdraw         | 20     |
| 262 | 40665580       | 2020 | 7     | 28  | Humphrey Lane        | withdraw         | 35     |
| 263 | 19531272       | 2020 | 7     | 28  | Blumberg Boulevard   | withdraw         | 55     |
| 264 | 28296815       | 2020 | 7     | 28  | Fifer Street         | withdraw         | 20     |
| 265 | 96336648       | 2020 | 7     | 28  | Humphrey Lane        | withdraw         | 20     |
| 266 | 76054385       | 2020 | 7     | 28  | Fifer Street         | withdraw         | 60     |
| 267 | 49610011       | 2020 | 7     | 28  | Fifer Street         | withdraw         | 50     |
| 268 | 92206742       | 2020 | 7     | 28  | Blumberg Boulevard   | withdraw         | 30     |
| 269 | 16153065       | 2020 | 7     | 28  | Fifer Street         | withdraw         | 80     |
| 270 | 24133830       | 2020 | 7     | 28  | Carvalho Road        | deposit          | 5      |
| 271 | 20774848       | 2020 | 7     | 28  | Daboin Sanchez Drive | withdraw         | 40     |
| 272 | 21656307       | 2020 | 7     | 28  | Daboin Sanchez Drive | withdraw         | 10     |
| 273 | 69638157       | 2020 | 7     | 28  | Humphrey Lane        | withdraw         | 20     |
| 274 | 27952274       | 2020 | 7     | 28  | Humphrey Lane        | deposit          | 95     |
| 275 | 86363979       | 2020 | 7     | 28  | Fifer Street         | deposit          | 10     |
| 276 | 13156006       | 2020 | 7     | 28  | Humphrey Lane        | withdraw         | 15     |
| 277 | 89843009       | 2020 | 7     | 28  | Humphrey Lane        | withdraw         | 40     |
| 278 | 69278040       | 2020 | 7     | 28  | Carvalho Road        | withdraw         | 45     |
